"Spec","Corr","LR_main","LR_pos","LR_neg","LR_trade","LR_fdi","SR_main","SR_pos","SR_neg","SR_trade","SR_fdi","phi"
"CS-ARDL","CS","-0.008*** (0.003)","","","0.004*** (0.001)","0.006** (0.003)","-0.002*** (0.001)","","","0.000 (0.000)","0.001* (0.001)","-0.416*** (0.029)"
"CS-ARDL","RMA","-0.005** (0.002)","","","0.003*** (0.001)","0.003 (0.003)","-0.001 (0.001)","","","-0.000 (0.000)","0.000 (0.001)","-0.472*** (0.033)"
"CS-ARDL","HPJ","-0.008*** (0.003)","","","0.004*** (0.001)","0.006** (0.003)","-0.002*** (0.001)","","","0.000 (0.000)","0.001* (0.001)","-0.416*** (0.029)"
"CS-ARDL","TPJ","-0.008*** (0.003)","","","0.004*** (0.001)","0.006** (0.003)","-0.002*** (0.001)","","","0.000 (0.000)","0.001* (0.001)","-0.416*** (0.029)"
"CS-ARDL","CSB","-0.011*** (0.003)","","","0.005*** (0.001)","0.008*** (0.003)","-0.003*** (0.001)","","","0.000 (0.000)","0.002** (0.001)","-0.421*** (0.029)"
"CS-NARDL","CS","","-0.018*** (0.003)","-0.004 (0.003)","0.001 (0.001)","0.001 (0.003)","","-0.005*** (0.001)","-0.001 (0.001)","0.001*** (0.000)","0.001** (0.001)","-0.468*** (0.030)"
"CS-NARDL","RMA","","-0.009*** (0.003)","-0.008*** (0.003)","0.002** (0.001)","0.006* (0.004)","","-0.002** (0.001)","-0.002** (0.001)","0.000* (0.000)","0.001 (0.001)","-0.525*** (0.034)"
"CS-NARDL","HPJ","","-0.018*** (0.003)","-0.004 (0.003)","0.001 (0.001)","0.001 (0.003)","","-0.005*** (0.001)","-0.001 (0.001)","0.001*** (0.000)","0.001** (0.001)","-0.468*** (0.030)"
"CS-NARDL","TPJ","","-0.018*** (0.003)","-0.004 (0.003)","0.001 (0.001)","0.001 (0.003)","","-0.005*** (0.001)","-0.001 (0.001)","0.001*** (0.000)","0.001** (0.001)","-0.468*** (0.030)"
"CS-NARDL","CSB","","-0.021*** (0.003)","-0.002 (0.003)","0.000 (0.001)","-0.000 (0.003)","","-0.007*** (0.001)","-0.001 (0.001)","0.001*** (0.000)","0.002** (0.001)","-0.468*** (0.030)"
"FCS-NARDL","CS","","-0.009*** (0.003)","-0.001 (0.002)","-0.000 (0.001)","0.005** (0.002)","","-0.003** (0.001)","-0.001 (0.001)","0.000 (0.000)","0.001 (0.001)","-0.678*** (0.033)"
"FCS-NARDL","RMA","","-0.005** (0.002)","-0.005** (0.002)","0.001* (0.001)","0.004* (0.002)","","-0.002 (0.001)","-0.001 (0.001)","-0.000 (0.000)","0.001* (0.001)","-0.790*** (0.041)"
"FCS-NARDL","HPJ","","-0.009*** (0.003)","-0.001 (0.002)","-0.000 (0.001)","0.005** (0.002)","","-0.003** (0.001)","-0.001 (0.001)","0.000 (0.000)","0.001 (0.001)","-0.678*** (0.033)"
"FCS-NARDL","TPJ","","-0.009*** (0.003)","-0.001 (0.002)","-0.000 (0.001)","0.005** (0.002)","","-0.003** (0.001)","-0.001 (0.001)","0.000 (0.000)","0.001 (0.001)","-0.678*** (0.033)"
"FCS-NARDL","CSB","","-0.009*** (0.003)","-0.001 (0.002)","-0.001 (0.001)","0.007*** (0.002)","","-0.003** (0.001)","-0.000 (0.001)","-0.000 (0.000)","0.001** (0.001)","-0.676*** (0.033)"
