"Spec","Corr","LR_main","LR_pos","LR_neg","LR_energy","LR_urban","LR_trade","SR_main","SR_pos","SR_neg","SR_energy","SR_urban","SR_trade","phi"
"CS-ARDL","CS","0.229** (0.090)","","","0.484*** (0.053)","1.480* (0.891)","0.099*** (0.029)","0.272*** (0.071)","","","0.495*** (0.041)","-9.752*** (3.566)","0.070*** (0.021)","-1.020*** (0.027)"
"CS-ARDL","RMA","0.280*** (0.095)","","","0.545*** (0.053)","1.357 (1.018)","0.104*** (0.033)","0.259*** (0.070)","","","0.519*** (0.039)","-8.651** (3.684)","0.073*** (0.024)","-1.019*** (0.026)"
"CS-ARDL","HPJ","0.229** (0.090)","","","0.484*** (0.053)","1.480* (0.891)","0.099*** (0.029)","0.272*** (0.071)","","","0.495*** (0.041)","-9.752*** (3.566)","0.070*** (0.021)","-1.020*** (0.027)"
"CS-ARDL","TPJ","0.229** (0.090)","","","0.484*** (0.053)","1.480* (0.891)","0.099*** (0.029)","0.272*** (0.071)","","","0.495*** (0.041)","-9.752*** (3.566)","0.070*** (0.021)","-1.020*** (0.027)"
"CS-ARDL","CSB","0.219** (0.090)","","","0.451*** (0.053)","1.802** (0.891)","0.145*** (0.029)","0.270*** (0.071)","","","0.475*** (0.041)","-12.982*** (3.566)","0.090*** (0.021)","-1.006*** (0.027)"
"CS-NARDL","CS","","0.163 (0.149)","-0.008 (0.267)","0.491*** (0.057)","1.151 (0.957)","0.128*** (0.037)","","0.263** (0.107)","-0.008 (0.186)","0.470*** (0.046)","-3.829 (4.051)","0.101*** (0.028)","-1.083*** (0.027)"
"CS-NARDL","RMA","","0.008 (0.137)","0.917*** (0.241)","0.486*** (0.044)","2.234* (1.142)","0.049 (0.033)","","0.150 (0.100)","0.568*** (0.137)","0.488*** (0.034)","-1.581 (3.173)","0.026 (0.024)","-0.991*** (0.025)"
"CS-NARDL","HPJ","","0.163 (0.149)","-0.008 (0.267)","0.491*** (0.057)","1.151 (0.957)","0.128*** (0.037)","","0.263** (0.107)","-0.008 (0.186)","0.470*** (0.046)","-3.829 (4.051)","0.101*** (0.028)","-1.083*** (0.027)"
"CS-NARDL","TPJ","","0.163 (0.149)","-0.008 (0.267)","0.491*** (0.057)","1.151 (0.957)","0.128*** (0.037)","","0.263** (0.107)","-0.008 (0.186)","0.470*** (0.046)","-3.829 (4.051)","0.101*** (0.028)","-1.083*** (0.027)"
"CS-NARDL","CSB","","0.060 (0.149)","-0.193 (0.267)","0.505*** (0.057)","1.324 (0.957)","0.185*** (0.037)","","0.238** (0.107)","-0.025 (0.186)","0.461*** (0.046)","-3.395 (4.051)","0.140*** (0.028)","-1.078*** (0.027)"
"FCS-NARDL","CS","","0.155 (0.111)","0.166 (0.224)","0.495*** (0.044)","-0.087 (1.290)","0.050* (0.029)","","0.286*** (0.097)","0.022 (0.162)","0.499*** (0.043)","-6.964* (3.904)","0.042* (0.025)","-1.127*** (0.024)"
"FCS-NARDL","RMA","","0.170 (0.147)","0.641*** (0.213)","0.488*** (0.043)","-0.149 (1.435)","0.038 (0.033)","","0.273** (0.115)","0.505*** (0.153)","0.499*** (0.037)","-11.819** (4.990)","0.035 (0.024)","-1.141*** (0.023)"
"FCS-NARDL","HPJ","","0.155 (0.111)","0.166 (0.224)","0.495*** (0.044)","-0.087 (1.290)","0.050* (0.029)","","0.286*** (0.097)","0.022 (0.162)","0.499*** (0.043)","-6.964* (3.904)","0.042* (0.025)","-1.127*** (0.024)"
"FCS-NARDL","TPJ","","0.155 (0.111)","0.166 (0.224)","0.495*** (0.044)","-0.087 (1.290)","0.050* (0.029)","","0.286*** (0.097)","0.022 (0.162)","0.499*** (0.043)","-6.964* (3.904)","0.042* (0.025)","-1.127*** (0.024)"
"FCS-NARDL","CSB","","0.080 (0.111)","0.045 (0.224)","0.493*** (0.044)","0.193 (1.290)","0.066** (0.029)","","0.273*** (0.097)","-0.078 (0.162)","0.498*** (0.043)","-4.491 (3.904)","0.048** (0.025)","-1.138*** (0.024)"
