"N","T","CS_theta_bias","CS_theta_rmse","CS_theta_pctbias","CS_theta_mcse","CS_phi_bias","CS_phi_rmse","CS_phi_pctbias","CS_phi_mcse","CS_n_valid","RMA_theta_bias","RMA_theta_rmse","RMA_theta_pctbias","RMA_theta_mcse","RMA_phi_bias","RMA_phi_rmse","RMA_phi_pctbias","RMA_phi_mcse","RMA_n_valid","HPJ_theta_bias","HPJ_theta_rmse","HPJ_theta_pctbias","HPJ_theta_mcse","HPJ_phi_bias","HPJ_phi_rmse","HPJ_phi_pctbias","HPJ_phi_mcse","HPJ_n_valid","TPJ_theta_bias","TPJ_theta_rmse","TPJ_theta_pctbias","TPJ_theta_mcse","TPJ_phi_bias","TPJ_phi_rmse","TPJ_phi_pctbias","TPJ_phi_mcse","TPJ_n_valid","BBC_theta_bias","BBC_theta_rmse","BBC_theta_pctbias","BBC_theta_mcse","BBC_phi_bias","BBC_phi_rmse","BBC_phi_pctbias","BBC_phi_mcse","BBC_n_valid","CSB_theta_bias","CSB_theta_rmse","CSB_theta_pctbias","CSB_theta_mcse","CSB_phi_bias","CSB_phi_rmse","CSB_phi_pctbias","CSB_phi_mcse","CSB_n_valid"
40,40,-0.0776,0.1483,-7.76,0.283,-0.1824,0.1859,-45.6,0.2,2000,-0.0929,0.4852,-9.29,1.065,-0.1926,0.1962,-48.16,0.207,2000,1.3822,59.0673,138.22,132.075,0.0546,0.0884,13.65,0.389,2000,-0.0528,0.6601,-5.28,1.472,-0.1056,0.1157,-26.4,0.265,2000,0.2,4.3715,20,13.816,-0.045,0.06,-11.25,0.314,1000,-0.0941,0.2828,-9.41,0.844,-0.1846,0.1894,-46.15,0.334,1000
50,40,0.0709,6.888,7.09,15.405,-0.1836,0.1864,-45.91,0.178,2000,-0.1049,0.7547,-10.49,1.672,-0.1928,0.1958,-48.21,0.189,2000,0.0452,29.9211,4.52,66.922,0.0539,0.0833,13.48,0.355,2000,-0.0792,1.5095,-7.92,3.372,-0.1083,0.1169,-27.07,0.246,2000,-0.0401,0.3991,-4.01,1.256,-0.0449,0.0577,-11.23,0.286,1000,-0.0726,0.4936,-7.26,1.545,-0.1856,0.1893,-46.39,0.295,1000
100,40,-0.0914,0.6468,-9.14,1.432,-0.1851,0.1867,-46.27,0.14,2000,-0.0284,2.6698,-2.84,5.971,-0.1942,0.1959,-48.54,0.147,2000,0.0715,3.8076,7.15,8.515,0.056,0.0756,14.01,0.284,2000,-0.0093,2.0842,-0.93,4.662,-0.1104,0.1159,-27.6,0.197,2000,-0.0553,0.3185,-5.53,0.992,-0.0441,0.0517,-11.02,0.213,1000,-0.0767,0.2596,-7.67,0.785,-0.1854,0.1876,-46.35,0.226,1000
150,40,-0.0782,0.2142,-7.82,0.446,-0.1847,0.1861,-46.19,0.123,2000,-0.104,0.6429,-10.4,1.419,-0.1958,0.1973,-48.95,0.137,2000,0.1293,3.5216,12.93,7.871,0.0575,0.0746,14.37,0.266,2000,-0.0434,0.5025,-4.34,1.12,-0.1124,0.1169,-28.09,0.181,2000,-0.0789,1.3949,-7.89,4.406,-0.0423,0.0482,-10.58,0.182,1000,-0.0755,0.2718,-7.55,0.826,-0.1854,0.1871,-46.35,0.199,1000
200,40,-0.0676,0.3964,-6.76,0.874,-0.1846,0.1858,-46.15,0.116,2000,-0.0933,0.2229,-9.33,0.453,-0.1952,0.1965,-48.81,0.124,2000,0.5198,18.6325,51.98,41.658,0.0589,0.0747,14.74,0.256,2000,-0.1023,1.4764,-10.23,3.294,-0.1117,0.1157,-27.92,0.169,2000,-0.0041,1.4174,-0.41,4.484,-0.0426,0.0477,-10.64,0.171,1000,-0.0827,0.3548,-8.27,1.092,-0.1856,0.1871,-46.4,0.188,1000
40,50,-0.0546,0.0779,-5.46,0.124,-0.1353,0.1387,-33.82,0.171,2000,-0.0625,0.1352,-6.25,0.268,-0.1405,0.144,-35.12,0.176,2000,-0.0477,3.292,-4.77,7.362,0.0396,0.0636,9.91,0.278,2000,-1.0102,43.8748,-101.02,98.106,-0.0821,0.09,-20.53,0.205,2000,-0.0376,0.3152,-3.76,0.99,-0.0234,0.0405,-5.84,0.261,1000,-0.0593,0.1059,-5.93,0.278,-0.1344,0.1384,-33.6,0.261,1000
50,50,-0.0541,0.0812,-5.41,0.135,-0.1359,0.1385,-33.97,0.15,2000,-0.0664,0.0898,-6.64,0.135,-0.1409,0.1436,-35.22,0.156,2000,0.0163,1.838,1.63,4.111,0.043,0.0632,10.74,0.259,2000,-0.1696,9.68,-16.96,21.647,-0.081,0.0879,-20.25,0.191,2000,-0.0299,0.0947,-2.99,0.284,-0.0219,0.0383,-5.48,0.249,1000,-0.0529,0.1018,-5.29,0.275,-0.1354,0.1386,-33.84,0.234,1000
100,50,-0.0561,0.0721,-5.61,0.101,-0.1358,0.1373,-33.96,0.113,2000,-0.0669,0.124,-6.69,0.233,-0.1419,0.1436,-35.47,0.123,2000,-0.2768,23.5774,-27.68,52.73,0.0422,0.0552,10.55,0.199,2000,-0.0371,0.2987,-3.71,0.663,-0.084,0.088,-20.99,0.147,2000,-0.023,0.0665,-2.3,0.197,-0.0229,0.0324,-5.73,0.181,1000,-0.0607,0.1487,-6.07,0.429,-0.1356,0.1374,-33.9,0.176,1000
150,50,-0.0541,0.0728,-5.41,0.109,-0.1356,0.1367,-33.9,0.097,2000,-0.0655,0.4942,-6.55,1.096,-0.1424,0.1435,-35.6,0.1,2000,0.0357,1.3061,3.57,2.92,0.0419,0.0525,10.46,0.177,2000,-0.047,0.4165,-4.7,0.926,-0.0855,0.0889,-21.38,0.135,2000,-0.0382,0.3754,-3.82,1.182,-0.0211,0.0276,-5.28,0.141,1000,-0.0433,0.28,-4.33,0.875,-0.1364,0.1378,-34.09,0.158,1000
200,50,-0.057,0.0713,-5.7,0.096,-0.1358,0.1367,-33.95,0.085,2000,-0.0643,0.1983,-6.43,0.42,-0.1428,0.1438,-35.71,0.094,2000,0.0195,1.3922,1.95,3.113,0.0426,0.0518,10.65,0.165,2000,-0.0133,1.0572,-1.33,2.364,-0.0859,0.0884,-21.48,0.117,2000,-0.0259,0.0757,-2.59,0.225,-0.0221,0.0274,-5.52,0.128,1000,-0.0575,0.0863,-5.75,0.204,-0.1358,0.1368,-33.95,0.129,1000
40,100,-0.0164,0.0286,-1.64,0.052,-0.0576,0.0627,-14.39,0.139,2000,-0.0173,0.0318,-1.73,0.06,-0.0587,0.0636,-14.67,0.137,2000,0.0194,0.0502,1.94,0.104,0.0182,0.0344,4.54,0.163,2000,-0.0109,0.0295,-1.09,0.061,-0.0345,0.0434,-8.63,0.148,2000,-0.0035,0.0249,-0.35,0.078,-0.0019,0.0266,-0.47,0.21,1000,-0.0185,0.0324,-1.85,0.084,-0.0591,0.0648,-14.77,0.21,1000
50,100,-0.0168,0.0274,-1.68,0.048,-0.0579,0.0622,-14.47,0.127,2000,-0.0172,0.0293,-1.72,0.053,-0.0583,0.0623,-14.58,0.122,2000,0.0207,0.0581,2.07,0.121,0.0198,0.0335,4.96,0.151,2000,-0.0106,0.0275,-1.06,0.057,-0.0355,0.0428,-8.88,0.134,2000,-0.0045,0.0226,-0.45,0.07,-0.0032,0.0231,-0.81,0.181,1000,-0.0172,0.0295,-1.72,0.076,-0.06,0.0639,-15.01,0.174,1000
100,100,-0.017,0.0227,-1.7,0.034,-0.0586,0.0606,-14.64,0.087,2000,-0.0178,0.0248,-1.78,0.039,-0.0589,0.061,-14.73,0.088,2000,0.0195,0.0824,1.95,0.179,0.0177,0.0262,4.44,0.108,2000,-0.0109,0.0214,-1.09,0.041,-0.0358,0.0397,-8.94,0.096,2000,-0.0033,0.016,-0.33,0.049,-0.0029,0.0166,-0.73,0.129,1000,-0.0177,0.025,-1.77,0.056,-0.0584,0.0607,-14.61,0.13,1000
