"N","T","CS_theta_pos_bias","CS_theta_pos_rmse","CS_theta_pos_pctbias","CS_theta_pos_mcse","CS_theta_neg_bias","CS_theta_neg_rmse","CS_theta_neg_pctbias","CS_theta_neg_mcse","CS_phi_bias","CS_phi_rmse","CS_phi_pctbias","CS_phi_mcse","CS_n_valid","RMA_theta_pos_bias","RMA_theta_pos_rmse","RMA_theta_pos_pctbias","RMA_theta_pos_mcse","RMA_theta_neg_bias","RMA_theta_neg_rmse","RMA_theta_neg_pctbias","RMA_theta_neg_mcse","RMA_phi_bias","RMA_phi_rmse","RMA_phi_pctbias","RMA_phi_mcse","RMA_n_valid","HPJ_theta_pos_bias","HPJ_theta_pos_rmse","HPJ_theta_pos_pctbias","HPJ_theta_pos_mcse","HPJ_theta_neg_bias","HPJ_theta_neg_rmse","HPJ_theta_neg_pctbias","HPJ_theta_neg_mcse","HPJ_phi_bias","HPJ_phi_rmse","HPJ_phi_pctbias","HPJ_phi_mcse","HPJ_n_valid","TPJ_theta_pos_bias","TPJ_theta_pos_rmse","TPJ_theta_pos_pctbias","TPJ_theta_pos_mcse","TPJ_theta_neg_bias","TPJ_theta_neg_rmse","TPJ_theta_neg_pctbias","TPJ_theta_neg_mcse","TPJ_phi_bias","TPJ_phi_rmse","TPJ_phi_pctbias","TPJ_phi_mcse","TPJ_n_valid","BBC_theta_pos_bias","BBC_theta_pos_rmse","BBC_theta_pos_pctbias","BBC_theta_pos_mcse","BBC_theta_neg_bias","BBC_theta_neg_rmse","BBC_theta_neg_pctbias","BBC_theta_neg_mcse","BBC_phi_bias","BBC_phi_rmse","BBC_phi_pctbias","BBC_phi_mcse","BBC_n_valid","CSB_theta_pos_bias","CSB_theta_pos_rmse","CSB_theta_pos_pctbias","CSB_theta_pos_mcse","CSB_theta_neg_bias","CSB_theta_neg_rmse","CSB_theta_neg_pctbias","CSB_theta_neg_mcse","CSB_phi_bias","CSB_phi_rmse","CSB_phi_pctbias","CSB_phi_mcse","CSB_n_valid"
40,40,-0.1426,0.2269,-28.53,0.789,0.0975,0.3992,37.48,3.33,-0.2855,0.2885,-71.38,0.232,2000,-0.1367,0.3166,-27.35,1.277,0.1006,0.2156,38.71,1.64,-0.2989,0.3017,-74.73,0.23,2000,0.1002,17.9501,20.03,80.294,0.4122,11.1657,158.53,95.987,0.0268,0.089,6.7,0.475,2000,-0.1642,1.4432,-32.85,6.414,-0.0171,7.4528,-6.58,64.112,-0.19,0.199,-47.49,0.331,2000,-0.1643,1.5893,-32.86,10.003,0.0961,0.6609,36.97,7.957,-0.1046,0.1139,-26.14,0.358,1000,-0.1464,0.3479,-29.28,1.997,0.1067,0.4322,41.03,5.096,-0.2882,0.2921,-72.05,0.375,1000
50,40,-0.139,0.1804,-27.81,0.514,0.0919,0.3914,35.35,3.273,-0.286,0.2884,-71.51,0.205,2000,-0.1404,0.2281,-28.08,0.804,0.0958,0.2086,36.83,1.594,-0.298,0.3005,-74.51,0.217,2000,0.8566,39.6808,171.33,177.461,0.3667,15.6987,141.05,135.01,0.0286,0.0835,7.15,0.438,2000,-0.1041,1.0763,-20.82,4.792,0.0915,2.7495,35.19,23.639,-0.1883,0.1949,-47.08,0.281,2000,-0.1556,0.3599,-31.11,2.054,0.1014,0.4672,39,5.55,-0.104,0.1122,-26.01,0.332,1000,-0.117,0.4883,-23.4,3,0.106,0.2186,40.78,2.326,-0.2864,0.2898,-71.6,0.351,1000
100,40,-0.1953,2.0923,-39.07,9.318,0.0763,0.7393,29.33,6.326,-0.2868,0.2883,-71.7,0.164,2000,-0.135,0.3023,-26.99,1.21,0.0982,0.2984,37.78,2.424,-0.3015,0.3031,-75.36,0.178,2000,0.5984,17.6983,119.68,79.124,0.2652,15.3413,102,131.953,0.0269,0.0687,6.72,0.353,2000,-0.1357,1.1767,-27.15,5.228,0.0861,1.0816,33.12,9.275,-0.1905,0.1951,-47.62,0.235,2000,-0.1285,0.7291,-25.7,4.541,0.1257,1.2714,48.35,15.396,-0.1046,0.1098,-26.15,0.264,1000,-0.3642,6.71,-72.85,42.396,0.0302,2.0764,11.6,25.264,-0.2894,0.2914,-72.34,0.271,1000
150,40,-0.1214,0.7074,-24.29,3.118,0.111,0.552,42.7,4.652,-0.2899,0.2911,-72.47,0.149,2000,-0.1454,0.2985,-29.08,1.166,0.0985,0.257,37.87,2.042,-0.3019,0.3031,-75.46,0.152,2000,0.4944,74.6142,98.87,333.761,-1.7206,82.1407,-661.77,706.453,0.0251,0.0624,6.27,0.319,2000,-0.1583,0.9455,-31.65,4.17,0.0812,0.8731,31.24,7.478,-0.1913,0.1953,-47.83,0.221,2000,-0.0964,2.8623,-19.28,18.101,0.1704,1.9354,65.53,23.46,-0.1064,0.11,-26.59,0.221,1000,-0.0981,0.4897,-19.62,3.036,0.1803,1.63,69.36,19.713,-0.2888,0.2903,-72.19,0.233,1000
200,40,-0.1422,0.2423,-28.44,0.877,0.0928,0.1581,35.67,1.101,-0.289,0.29,-72.24,0.139,2000,-0.1411,0.3977,-28.23,1.663,0.0949,0.4166,36.5,3.49,-0.3026,0.3037,-75.66,0.144,2000,-0.0479,9.8882,-9.57,44.232,0.0358,9.1799,13.78,78.969,0.0257,0.0606,6.42,0.307,2000,-0.129,1.1493,-25.8,5.109,0.0968,1.0514,37.25,9.006,-0.1932,0.1966,-48.3,0.204,2000,-0.0486,1.7356,-9.72,10.978,0.1863,2.1698,71.65,26.307,-0.106,0.1091,-26.49,0.206,1000,-0.1373,0.1905,-27.46,0.836,0.0978,0.2225,37.6,2.432,-0.2897,0.2911,-72.42,0.227,1000
40,50,-0.1138,0.5296,-22.75,2.314,0.1125,0.1658,43.26,1.048,-0.2163,0.219,-54.08,0.191,2000,-0.1387,0.1772,-27.75,0.493,0.1007,0.2052,38.73,1.538,-0.2256,0.2282,-56.4,0.192,2000,0.3055,12.3241,61.09,55.112,0.2966,6.4439,114.09,55.374,0.0257,0.065,6.42,0.334,2000,-0.101,1.0289,-20.2,4.581,0.1409,1.1642,54.21,9.942,-0.1453,0.1519,-36.31,0.248,2000,-0.1277,0.1645,-25.55,0.656,0.1077,0.1588,41.41,1.42,-0.0572,0.0688,-14.31,0.301,1000,-0.1317,0.2251,-26.34,1.155,0.1052,0.2087,40.47,2.194,-0.2175,0.2207,-54.37,0.297,1000
50,50,-0.1323,0.1751,-26.46,0.513,0.1071,0.1644,41.18,1.073,-0.2169,0.2191,-54.22,0.174,2000,-0.134,0.1647,-26.79,0.429,0.1071,0.1318,41.2,0.66,-0.2242,0.2264,-56.05,0.177,2000,-0.1233,0.8904,-24.65,3.945,0.1218,0.8201,46.84,6.976,0.026,0.0595,6.5,0.299,2000,-0.111,0.8895,-22.2,3.948,0.1171,0.3506,45.03,2.843,-0.1456,0.1509,-36.4,0.221,2000,-0.1244,0.1491,-24.89,0.519,0.1136,0.1457,43.71,1.11,-0.0574,0.067,-14.36,0.273,1000,-0.1354,0.1571,-27.08,0.505,0.1025,0.1408,39.42,1.175,-0.2175,0.2202,-54.37,0.275,1000
100,50,-0.131,0.155,-26.2,0.37,0.1064,0.1494,40.94,0.902,-0.2167,0.218,-54.19,0.131,2000,-0.1375,0.1462,-27.5,0.222,0.1026,0.1187,39.45,0.514,-0.2269,0.2281,-56.73,0.13,2000,-0.0047,17.1929,-0.93,76.908,0.1315,16.2055,50.58,139.402,0.0269,0.0525,6.72,0.252,2000,-0.111,0.8009,-22.2,3.548,0.1333,1.1956,51.29,10.221,-0.1475,0.1509,-36.87,0.177,2000,-0.3358,6.3579,-67.16,40.175,-0.0631,5.1813,-24.25,63.045,-0.0586,0.0637,-14.66,0.197,1000,0.311,14.0857,62.21,89.109,0.4089,9.897,157.27,120.33,-0.2184,0.2199,-54.61,0.2,1000
150,50,-0.1274,0.1494,-25.48,0.349,0.1064,0.1343,40.91,0.705,-0.2169,0.2178,-54.23,0.113,2000,-0.1343,0.1401,-26.87,0.178,0.1065,0.1174,40.97,0.423,-0.2267,0.2276,-56.66,0.118,2000,-0.1698,1.5553,-33.97,6.916,0.019,1.7724,7.3,15.246,0.0264,0.0482,6.6,0.225,2000,-0.1348,0.3929,-26.97,1.651,0.0901,0.3686,34.67,3.075,-0.1474,0.1497,-36.86,0.146,2000,-0.1293,0.3219,-25.85,1.865,0.1038,0.3284,39.93,3.791,-0.0576,0.0618,-14.4,0.176,1000,-0.1343,0.2384,-26.86,1.246,0.0919,0.255,35.33,2.895,-0.2182,0.2193,-54.56,0.167,1000
200,50,-0.1442,1.07,-28.83,4.743,0.0829,1.3334,31.9,11.448,-0.2176,0.2184,-54.4,0.104,2000,-0.1312,0.1672,-26.23,0.464,0.1074,0.1561,41.29,0.975,-0.2268,0.2276,-56.71,0.107,2000,-0.3815,11.5938,-76.3,51.834,0.1764,3.1423,67.84,26.989,0.0263,0.0448,6.57,0.203,2000,-0.1387,0.5234,-27.73,2.258,-0.0238,5.2224,-9.15,44.925,-0.1483,0.1505,-37.09,0.142,2000,-0.1213,0.1466,-24.27,0.52,0.1008,0.1294,38.78,0.987,-0.0577,0.0608,-14.42,0.153,1000,-0.1338,0.3863,-26.75,2.293,0.094,0.4049,36.16,4.793,-0.2182,0.2191,-54.54,0.163,1000
