"N","T","CS_theta_pos_bias","CS_theta_pos_rmse","CS_theta_pos_pctbias","CS_theta_pos_mcse","CS_theta_neg_bias","CS_theta_neg_rmse","CS_theta_neg_pctbias","CS_theta_neg_mcse","CS_a1_bias","CS_a1_rmse","CS_a1_pctbias","CS_a1_mcse","CS_a2_bias","CS_a2_rmse","CS_a2_pctbias","CS_a2_mcse","CS_phi_bias","CS_phi_rmse","CS_phi_pctbias","CS_phi_mcse","CS_n_valid","RMA_theta_pos_bias","RMA_theta_pos_rmse","RMA_theta_pos_pctbias","RMA_theta_pos_mcse","RMA_theta_neg_bias","RMA_theta_neg_rmse","RMA_theta_neg_pctbias","RMA_theta_neg_mcse","RMA_a1_bias","RMA_a1_rmse","RMA_a1_pctbias","RMA_a1_mcse","RMA_a2_bias","RMA_a2_rmse","RMA_a2_pctbias","RMA_a2_mcse","RMA_phi_bias","RMA_phi_rmse","RMA_phi_pctbias","RMA_phi_mcse","RMA_n_valid","HPJ_theta_pos_bias","HPJ_theta_pos_rmse","HPJ_theta_pos_pctbias","HPJ_theta_pos_mcse","HPJ_theta_neg_bias","HPJ_theta_neg_rmse","HPJ_theta_neg_pctbias","HPJ_theta_neg_mcse","HPJ_a1_bias","HPJ_a1_rmse","HPJ_a1_pctbias","HPJ_a1_mcse","HPJ_a2_bias","HPJ_a2_rmse","HPJ_a2_pctbias","HPJ_a2_mcse","HPJ_phi_bias","HPJ_phi_rmse","HPJ_phi_pctbias","HPJ_phi_mcse","HPJ_n_valid","TPJ_theta_pos_bias","TPJ_theta_pos_rmse","TPJ_theta_pos_pctbias","TPJ_theta_pos_mcse","TPJ_theta_neg_bias","TPJ_theta_neg_rmse","TPJ_theta_neg_pctbias","TPJ_theta_neg_mcse","TPJ_a1_bias","TPJ_a1_rmse","TPJ_a1_pctbias","TPJ_a1_mcse","TPJ_a2_bias","TPJ_a2_rmse","TPJ_a2_pctbias","TPJ_a2_mcse","TPJ_phi_bias","TPJ_phi_rmse","TPJ_phi_pctbias","TPJ_phi_mcse","TPJ_n_valid","BBC_theta_pos_bias","BBC_theta_pos_rmse","BBC_theta_pos_pctbias","BBC_theta_pos_mcse","BBC_theta_neg_bias","BBC_theta_neg_rmse","BBC_theta_neg_pctbias","BBC_theta_neg_mcse","BBC_a1_bias","BBC_a1_rmse","BBC_a1_pctbias","BBC_a1_mcse","BBC_a2_bias","BBC_a2_rmse","BBC_a2_pctbias","BBC_a2_mcse","BBC_phi_bias","BBC_phi_rmse","BBC_phi_pctbias","BBC_phi_mcse","BBC_n_valid","CSB_theta_pos_bias","CSB_theta_pos_rmse","CSB_theta_pos_pctbias","CSB_theta_pos_mcse","CSB_theta_neg_bias","CSB_theta_neg_rmse","CSB_theta_neg_pctbias","CSB_theta_neg_mcse","CSB_a1_bias","CSB_a1_rmse","CSB_a1_pctbias","CSB_a1_mcse","CSB_a2_bias","CSB_a2_rmse","CSB_a2_pctbias","CSB_a2_mcse","CSB_phi_bias","CSB_phi_rmse","CSB_phi_pctbias","CSB_phi_mcse","CSB_n_valid"
40,40,-0.179,0.7926,-35.8,3.454,0.0682,0.4878,26.24,4.155,-0.4022,0.4433,-100.54,1.043,-0.2489,0.2956,-95.71,1.372,-0.4196,0.4218,-104.89,0.245,2000,-0.1637,0.3435,-32.74,1.351,0.0743,0.2479,28.57,2.035,-0.3985,0.4411,-99.63,1.058,-0.2601,0.297,-100.05,1.234,-0.4379,0.4401,-109.47,0.25,2000,0.0514,8.7627,10.27,39.197,0.1321,5.7136,50.8,49.138,-0.407,0.7425,-101.75,3.472,-0.2619,0.6083,-100.74,4.723,0.0086,0.1049,2.16,0.585,2000,-0.1742,1.5061,-34.84,6.692,0.0817,0.6114,31.41,5.213,-0.3946,0.5204,-98.65,1.897,-0.2559,0.3766,-98.44,2.377,-0.2868,0.2944,-71.7,0.372,2000,-0.1349,0.3374,-26.98,1.957,0.0842,0.1969,32.38,2.166,-0.3969,0.4459,-99.21,1.608,-0.2558,0.3062,-98.38,2.049,-0.1997,0.2067,-49.94,0.421,1000,-0.1085,1.5089,-21.7,9.523,0.1238,1.389,47.61,16.835,-0.4008,0.4859,-100.21,2.172,-0.2518,0.3424,-96.86,2.823,-0.4264,0.4296,-106.6,0.412,1000
50,40,-0.1622,0.518,-32.43,2.201,0.0794,0.2859,30.54,2.362,-0.4003,0.4383,-100.08,0.999,-0.2573,0.2945,-98.97,1.232,-0.4206,0.4226,-105.15,0.229,2000,-0.1568,0.1888,-31.35,0.471,0.0842,0.1546,32.37,1.116,-0.3989,0.4336,-99.72,0.951,-0.2588,0.291,-99.55,1.145,-0.437,0.439,-109.26,0.231,2000,0.0303,12.306,6.05,55.048,-0.5053,21.67,-194.35,186.363,-0.4072,0.6798,-101.79,3.044,-0.2399,0.5613,-92.29,4.365,0.0122,0.0982,3.05,0.545,2000,0.1077,11.5923,21.54,51.853,0.1101,2.7843,42.33,23.933,-0.3936,0.4942,-98.39,1.671,-0.2513,0.3567,-96.67,2.177,-0.2855,0.2922,-71.37,0.349,2000,-0.1245,0.6056,-24.91,3.75,0.101,0.416,38.84,4.91,-0.398,0.4432,-99.5,1.542,-0.2558,0.2963,-98.4,1.82,-0.2033,0.2086,-50.81,0.372,1000,-0.1637,0.5895,-32.75,3.583,0.0842,0.2652,32.37,3.06,-0.3998,0.4702,-99.94,1.958,-0.2562,0.3256,-98.55,2.446,-0.4251,0.428,-106.27,0.397,1000
100,40,-0.1479,0.172,-29.58,0.393,0.0859,0.2121,33.05,1.668,-0.4002,0.4248,-100.06,0.795,-0.2529,0.2764,-97.27,0.959,-0.4208,0.422,-105.21,0.177,2000,-0.1578,0.2446,-31.56,0.836,0.0763,0.2098,29.34,1.681,-0.4022,0.422,-100.54,0.715,-0.257,0.2765,-98.86,0.877,-0.4384,0.4397,-109.59,0.191,2000,-0.0046,7.9943,-0.91,35.76,0.0849,8.7525,32.67,75.289,-0.3963,0.5697,-99.07,2.288,-0.2612,0.4615,-100.45,3.273,0.0082,0.0793,2.06,0.441,2000,-0.1089,1.2319,-21.79,5.489,0.0443,2.4021,17.02,20.66,-0.3933,0.4567,-98.32,1.298,-0.2516,0.3164,-96.77,1.65,-0.2863,0.2906,-71.58,0.278,2000,-0.1124,0.7565,-22.47,4.734,0.1056,0.6022,40.63,7.215,-0.3958,0.4198,-98.96,1.107,-0.2429,0.2676,-93.43,1.367,-0.2016,0.2051,-50.4,0.301,1000,-0.1721,0.7161,-34.42,4.398,0.0732,0.4579,28.15,5.501,-0.4004,0.4352,-100.11,1.347,-0.2502,0.2874,-96.23,1.722,-0.4235,0.4253,-105.89,0.308,1000
150,40,-0.1584,0.4897,-31.68,2.073,0.0767,0.2599,29.51,2.136,-0.3918,0.4083,-97.95,0.642,-0.2505,0.267,-96.35,0.795,-0.4221,0.4231,-105.51,0.165,2000,-0.1621,0.1964,-32.43,0.496,0.0798,0.1368,30.68,0.956,-0.398,0.4122,-99.5,0.6,-0.256,0.2699,-98.48,0.733,-0.438,0.4391,-109.49,0.174,2000,3.7061,162.288,741.21,725.766,2.0648,92.7428,794.14,797.614,-0.3872,0.531,-96.8,2.032,-0.228,0.4076,-87.68,2.906,0.011,0.0751,2.75,0.415,2000,-0.1315,0.6628,-26.29,2.906,0.1237,1.097,47.57,9.377,-0.3954,0.4462,-98.85,1.156,-0.2521,0.2983,-96.96,1.371,-0.2855,0.2895,-71.36,0.27,2000,-0.1328,0.2476,-26.56,1.322,0.0854,0.2586,32.83,2.97,-0.3959,0.415,-98.96,0.985,-0.2513,0.2692,-96.67,1.173,-0.2011,0.2038,-50.28,0.262,1000,-0.1543,0.2183,-30.85,0.978,0.0725,0.2485,27.87,2.892,-0.3888,0.4165,-97.2,1.18,-0.2474,0.2781,-95.14,1.547,-0.4232,0.4246,-105.81,0.272,1000
200,40,-0.1515,0.1676,-30.3,0.32,0.0783,0.1215,30.12,0.799,-0.3963,0.4114,-99.06,0.618,-0.2475,0.2622,-95.18,0.745,-0.4227,0.4236,-105.67,0.154,2000,-0.1644,0.3781,-32.89,1.523,0.0783,0.1094,30.13,0.656,-0.3985,0.4102,-99.63,0.544,-0.2531,0.264,-97.35,0.644,-0.4398,0.4408,-109.95,0.168,2000,1.1566,49.927,231.31,223.276,-6.3955,285.8895,-2459.79,2458.724,-0.3827,0.5001,-95.66,1.8,-0.2348,0.3676,-90.3,2.434,0.0115,0.0708,2.87,0.391,2000,-0.1136,1.6856,-22.73,7.523,0.0753,1.1642,28.97,9.994,-0.3865,0.4275,-96.62,1.022,-0.2435,0.28,-93.67,1.188,-0.2862,0.2899,-71.54,0.258,2000,-0.1381,0.2637,-27.62,1.421,0.087,0.2439,33.46,2.773,-0.3972,0.415,-99.3,0.95,-0.2457,0.2604,-94.52,1.047,-0.202,0.2044,-50.5,0.246,1000,-0.1537,0.1786,-30.73,0.576,0.0764,0.1103,29.37,0.968,-0.3804,0.4046,-95.11,1.089,-0.2515,0.2723,-96.74,1.271,-0.4224,0.4238,-105.6,0.27,1000
40,50,-0.1461,0.164,-29.23,0.333,0.0917,0.1187,35.27,0.649,-0.403,0.4244,-100.76,0.744,-0.256,0.281,-98.46,0.997,-0.3171,0.3191,-79.27,0.202,2000,-0.1452,0.1652,-29.04,0.352,0.094,0.1232,36.15,0.685,-0.4014,0.4209,-100.34,0.709,-0.2565,0.2741,-98.67,0.831,-0.3294,0.3314,-82.34,0.207,2000,-0.0032,4.9048,-0.65,21.94,0.1953,3.3908,75.12,29.121,-0.4199,0.5491,-104.97,1.979,-0.2524,0.3826,-97.09,2.473,0.0254,0.0748,6.36,0.393,2000,-0.1413,0.1896,-28.25,0.566,0.0949,0.1578,36.48,1.085,-0.41,0.4646,-102.51,1.221,-0.244,0.2967,-93.83,1.452,-0.2181,0.2236,-54.52,0.277,2000,-0.14,0.1639,-28,0.539,0.0953,0.13,36.67,1.075,-0.406,0.4299,-101.5,1.118,-0.2485,0.2742,-95.59,1.41,-0.1165,0.1236,-29.13,0.326,1000,-0.1444,0.1683,-28.88,0.547,0.0927,0.1257,35.65,1.033,-0.404,0.4477,-101,1.526,-0.2467,0.2848,-94.87,1.732,-0.3216,0.3242,-80.4,0.321,1000
50,50,-0.1378,0.3702,-27.56,1.537,0.0921,0.123,35.44,0.701,-0.4053,0.4234,-101.34,0.685,-0.252,0.2708,-96.93,0.852,-0.3169,0.3186,-79.23,0.181,2000,-0.1489,0.1695,-29.79,0.362,0.0898,0.117,34.56,0.645,-0.4026,0.4186,-100.64,0.642,-0.2568,0.273,-98.78,0.796,-0.3288,0.3305,-82.21,0.185,2000,-0.1428,0.8551,-28.56,3.771,0.1048,1.2024,40.3,10.304,-0.4122,0.5197,-103.04,1.77,-0.238,0.3637,-91.55,2.365,0.0286,0.0726,7.14,0.373,2000,-0.1465,0.468,-29.29,1.988,0.0869,0.307,33.42,2.533,-0.4076,0.4611,-101.89,1.205,-0.2516,0.3036,-96.77,1.462,-0.2195,0.2239,-54.88,0.247,2000,-0.1367,0.1567,-27.34,0.484,0.0954,0.1252,36.7,0.986,-0.3984,0.4182,-99.6,1.006,-0.2583,0.2781,-99.36,1.254,-0.1186,0.1241,-29.65,0.29,1000,-0.1049,1.5083,-20.97,9.521,0.1162,1.0219,44.71,12.354,-0.405,0.4363,-101.25,1.283,-0.2528,0.2818,-97.22,1.516,-0.3182,0.3202,-79.55,0.286,1000
100,50,-0.1441,0.163,-28.82,0.341,0.0875,0.2038,33.64,1.584,-0.4003,0.4115,-100.09,0.532,-0.2501,0.2636,-96.18,0.718,-0.3177,0.3187,-79.43,0.14,2000,-0.1454,0.1874,-29.08,0.529,0.0931,0.1426,35.81,0.929,-0.4048,0.4136,-101.2,0.474,-0.2569,0.2662,-98.81,0.6,-0.3298,0.3308,-82.46,0.143,2000,-0.0322,1.9232,-6.45,8.602,0.1931,2.1172,74.28,18.137,-0.4041,0.4726,-101.03,1.37,-0.2353,0.3175,-90.49,1.834,0.0255,0.0599,6.38,0.303,2000,-0.1362,0.3707,-27.25,1.542,0.0874,0.5827,33.61,4.956,-0.3968,0.4256,-99.2,0.861,-0.2426,0.2751,-93.29,1.117,-0.22,0.2231,-55.01,0.207,2000,-0.1247,0.2798,-24.93,1.585,0.1081,0.3495,41.58,4.045,-0.4039,0.4161,-100.97,0.791,-0.248,0.2608,-95.37,0.985,-0.1185,0.1218,-29.62,0.225,1000,-0.1433,0.1585,-28.65,0.43,0.0894,0.1234,34.37,1.036,-0.3952,0.4126,-98.8,0.939,-0.2492,0.2671,-95.84,1.172,-0.3195,0.3208,-79.89,0.224,1000
150,50,-0.1451,0.1501,-29.02,0.173,0.0905,0.0999,34.8,0.365,-0.3982,0.4063,-99.55,0.451,-0.2518,0.2608,-96.86,0.585,-0.3191,0.3198,-79.77,0.122,2000,-0.1478,0.153,-29.55,0.178,0.0898,0.098,34.53,0.338,-0.4034,0.4103,-100.86,0.418,-0.2553,0.2631,-98.19,0.548,-0.3311,0.3318,-82.77,0.124,2000,-0.1172,1.8801,-23.45,8.394,0.0998,1.3596,38.38,11.664,-0.4046,0.4583,-101.15,1.204,-0.2372,0.305,-91.22,1.649,0.029,0.0568,7.26,0.273,2000,-0.1369,0.1776,-27.39,0.506,0.0976,0.2356,37.55,1.844,-0.3932,0.4176,-98.3,0.787,-0.2423,0.2648,-93.19,0.919,-0.2209,0.2234,-55.22,0.186,2000,-0.1397,0.2466,-27.94,1.286,0.0812,0.3257,31.22,3.838,-0.3941,0.4058,-98.54,0.765,-0.2452,0.2559,-94.29,0.893,-0.1167,0.1194,-29.18,0.197,1000,-0.1437,0.151,-28.75,0.294,0.0878,0.1023,33.78,0.639,-0.3931,0.4077,-98.26,0.857,-0.2455,0.2574,-94.41,0.944,-0.3193,0.3202,-79.83,0.193,1000
200,50,-0.142,0.1476,-28.39,0.181,0.0888,0.0971,34.17,0.338,-0.3915,0.3994,-97.88,0.442,-0.2483,0.2565,-95.5,0.554,-0.3193,0.32,-79.82,0.117,2000,-0.1487,0.1536,-29.73,0.173,0.0883,0.0981,33.98,0.368,-0.401,0.407,-100.26,0.388,-0.2529,0.2589,-97.25,0.477,-0.3315,0.3321,-82.86,0.119,2000,-0.2574,4.795,-51.48,21.418,0.0287,4.8688,11.03,41.883,-0.3897,0.4358,-97.43,1.091,-0.234,0.2851,-90.02,1.4,0.0273,0.054,6.83,0.261,2000,-0.1539,0.365,-30.77,1.481,0.25,7.7467,96.15,66.605,-0.3865,0.4056,-96.63,0.688,-0.2452,0.2645,-94.32,0.853,-0.2214,0.2237,-55.35,0.178,2000,-0.1397,0.1814,-27.94,0.732,0.0846,0.2478,32.53,2.834,-0.3817,0.3906,-95.42,0.657,-0.2447,0.2535,-94.13,0.803,-0.1187,0.1207,-29.68,0.172,1000,-0.1426,0.1505,-28.51,0.306,0.0861,0.0959,33.1,0.516,-0.3816,0.3934,-95.39,0.757,-0.2428,0.2542,-93.37,0.916,-0.3197,0.3206,-79.92,0.187,1000
